"Fuente","Título","Autor","Editorial","ISSN-e","ISSN","ISBN","Volumén","Número","Páginas"
"Artículo","Let's fight sexism with data","Jessica Wade","New scientist","","","","","","24-25"
"Artículo","Estudio de los métodos de investigación y técnicas de recolección de datos utilizadas en bibliotecología y ciencia de la información","Verónica Gauchi Risso","Revista española de documentación científica","","","","","",""
"Artículo","Can data ever be deleted?","Sally Adee","New scientist","","","","","",""
"Artículo","Save data, save lives","Jessica Griggs","New scientist","","","","","",""
"Artículo","Put your data to work","Hal Hodson","New scientist","","","","","",""
"Artículo","Your data in your hands","Jessica Griggs","New scientist","","","","","",""
"Artículo","Accesso aperto ai dati della ricerca come vettore per la scienza aperta","Elena Giglia","JLIS.it: Italian Journal of Library","","","","","","225-247"
"Artículo","LabView for sensor data acquisition","","Trac - trends in analytical chemistry","","","","","","312-318"
"Artículo","HapMap Lifts Data Restrictions","Mitch Leslie","Science","","","","","",""
"Artículo","Hauling In Better Catch Data","Mitch Leslie","Science","","","","","",""
"Artículo","A Call for Restraint On Biological Data","Jennifer Couzin","Science","","","","","","749-750"
"Artículo","A Handler for Big Data","Tony Cass","Science","","","","","",""
"Artículo","Court orders `sharing&#039; of data","Eliot Marshall","Science","","","","","","284-286"
"Artículo","Flash Your Data","Richard Peters, Robert Sikorski","Science","","","","","","1228-1229"
"Artículo","The rocky road to a data highway","Christopher Anderson","Science","","","","","","1064-1065"
"Artículo","Managing the genome data deluge","Peter Aldhous","Science","","","","","","502-503"
"Artículo","Filtering a river of cancer data","Michael Balter","Science","","","","","","1084-1086"
"Artículo","Staying afloat on the seas of data","Floyd E. Bloom","Science","","","","","",""
"Artículo","Longitudinal data model selection","Lexin Li, Rahman Azari, Chih-Ling Tsai","Computational statistics & data analysis: The official journal of the International Association for Statistical Computing","","","","","","3053-3066"
"Artículo","Data sharing in ecology and evolution","Michael P. Cummings, Cynthia S. Parr","Trends in ecology and evolution","","","","","","362-363"
"Artículo","Simplified data collection","Peter Hernon, Candy Schwartz","Library & information science research","","","","","","1-4"
"Artículo","Fisher information in censored data","Yanhua Wang, Shuyuan He","Statistics & probability letters","","","","","","199-206"
"Artículo","Discerning data-logging","","Education in science","","","","","",""
"Artículo","Your data, safe at last?","Douglas Heaven","New scientist","","","","","","22-23"
"Artículo","Your data, your rules","Sally Adee","New scientist","","","","","","10-11"
"Artículo","Black data matters","Lilian Anekwe","New scientist","","","","","","30-31"
"Artículo","Inside the scientific data revolution","","New scientist","","","","","","18-19"
"Artículo","Une science sans savants?: Les paradoxes de l’émergence de la science politique en France entre 1945 et 1968","Brigitte Gaïti, Marie Scot","Revue française de science politique","","","","","","13-42"
"Artículo","Aprendizaje experiencial en ciencia de datos: satisfacción de los estudiantes para tres modelos de enseñanza y aprendizaje","Emilio Serrano, Martin Molina, Daniel Manrique Gamo, Luis Baumela Molina, Damiano Zanardini","La innovación docente como misión del profesorado. Actas del IV congreso internacional sobre aprendizaje","","","","","","289-293"
"Artículo","The service revolution and the transformation of marketing science","Roland T. Rust, Ming-Hui Huang","Marketing science","","","","","","206-221"
"Artículo","Some challenges for regional science research","Robert J. Stimson","Investigaciones Regionales = Journal of Regional Research","","","","","","11-34"
"Artículo","Comment on “Estimating the reproducibility of psychological science”","Daniel Gilbert, Gary M. King, Stephen Pettigrew, Timothy D. Wilson","Science","","","","","","1037-1037"
"Artículo","¿Qué es la ciencia abierta?","Lluis M. Anglada i de Ferrer, Ernest Abadal","Anuario ThinkEPI","","","","","","292-298"
"Artículo","Science in the Archives: Pasts, Presents, Futures","Eric C. Stoykovich (res.)","RBM : A Journal of Rare Books","","","","","","134-135"
"Artículo","Brexit batters science job market","","New scientist","","","","","",""
"Artículo","Women in Male Domains: Sport and Science","Sandra L. Hanson, Rebecca S. Kraus","Sociology of sport journal","","","","","","92-110"
"Artículo","Citizens and collective deliberation in social science","Leandro de Brasi","Manuscrito: revista internacional de filosofía","","","","","","72-113"
"Artículo","On the role(s) of modelling in cognitive science","Anthony F. Morse, Tom Ziemke","Pragmatics and cognition","","","","","","37-56"
"Artículo","Recruiting and Advising Challenges in Actuarial Science","Bettye Ann Case, Yuanying Michelle Guan, Stephen Paris","Primus: problems","","","","","","891-903"
"Artículo","Anatolii Platonovich Prudnikov: life in science","Anatoly A. Kilbas, Stefan Samko","Revista de la Academia Canaria de Ciencias: = Folia Canariensis Academiae Scientiarum","","","","","","259-275"
"Artículo","Sense and nonsense of science citation analyses: comments on the monopoly position of ISI and citation inaccuracies. Risks of possible misuse and biased citation and impact data","","New journal of chemistry","","","","","","767-770"
"Artículo","Sequential Bayesian Updating for Big Data","Zita Oravecz, Matt Huentelman, Joachim Vandekerckhove","Big data in cognitive science / Michael N. Jones (aut.)","","","","","","13-33"
"Artículo","Open Government Data Implementation Evaluation","Peter Parycek, Johann Höcht, Michael Ginner","Journal of Theoretical and Applied Electronic Commerce Research","","","","","","80-89"
"Artículo","Data and documentaries: Methodological hybridizations in activism","Miren Gutiérrez Almazor","Catalan journal of communication & cultural studies","","","","","","315-332"
"Artículo","Intraobserver Error in Macromorphoscopic Trait Data, ,","Kelly R Kamnikar, Amber M Plemons, Joseph T. Hefner","Journal of forensic sciences","","","","","","361-370"
"Artículo","Quality of Research Data, an Operational Approach","Leo Waaijers, Maurits van der Graaf","D-Lib Magazine","","","","","",""
"Artículo","Nonparametric regression for threshold data","U. U. Muller","Canadian Journal of Statistics = Revue Canadienne de Statistique","","","","","","301-310"
"Artículo","Protecting genetic data","Maninder Ahluwalia","New scientist","","","","","",""
"Artículo","Show us the data","James Randerson","New scientist","","","","","","24-25"
"Artículo","Some Statistical Issues in Climate Science","Michael L. Stein","Statistical science","","","","","","31-41"
"Artículo","A call for open science in giftedness research","Matthew T. McBee, Matthew C. Makel, Scott J. Peters, Michael S. Matthews","Gifted child quarterly","","","","","","374-388"
"Artículo","Impacto de las revistas emergentes de Bibliotecología y Ciencia de la Información en Web of Science (2017)","Rafael Repiso Caballero","Bibliotecas. Anales de Investigación","","","","","","126-129"
"Artículo","Envisioning experiments on regional science frontiers","Karima Kourtit, Vicente Royuela Mora, Tomaz Dentinho, Peter Nijkamp","Investigaciones Regionales = Journal of Regional Research","","","","","","35-61"
"Artículo","Corporate science, innovation, and firm value","Markus Simeth, Michele Cincera","Management science: journal of the Institute for operations research and the management sciences","","","","","","1970-1981"
"Artículo","El estudio de drogas en México: mapeo sobre la producción académica en Scopus, Web of Science, PsycINFO, Science Direct y Redalyc.","Daniel Francisco Beltrán Velarde","Health and addictions: salud y drogas","","","","","","29-46"
"Artículo","Detectando misticismo quântico em livros publicados no Brasil com Ciência de Dados","Mairus Disconzi de Moura, Renato P. dos Santos","Caderno Brasileiro de Ensino de Física","","","","","","725-744"
"Artículo","A Science Librarian in the Laboratory: A Case Study","Robert Tomaszewski","Journal of chemical education","","","","","","755-760"
"Artículo","A Statistical Framework for Modern Network Science","Harry Crane, Walter Dempsey","Statistical science","","","","","","51-67"
"Artículo","Linked science et web de données","Camille Prime-Claverie","I2D: information","","","","","","42-43"
"Artículo","Métodos quantitativos e ciência de dados nos estudos do esporte: Prolegômenos a uma relação emergente","Jimmy Medeiros, Bernardo Borges Buarque de Hollanda","Recorde: Revista do História do Esporte","","","","","",""
"Artículo","Sequencing Instruction:: a Cognitive Science Perspective","Robert Brien","Innovations in education and teaching international","","","","","","102-114"
"Artículo","Mulheres na ciência","Maria Jose Tonelli, Felipe Zambaldi","RAE-Revista de Administração de Empresas","","","","","","114-115"
"Artículo","Perspective: Science is still too closed.","Aled Edwards","Nature: International weekly journal of science","","","","","","70-70"
"Artículo","Logistic Regression: From Art to Science","Dimitris Bertsimas, Angela King","Statistical science","","","","","","367-384"
"Artículo","Construção e validação de instrumento de coleta de dados na pesquisa em Ensino de Ciências","Edson José Wartha, Driane Anne Silva de Santana","Amazônia: Revista de Educação em Ciências e Matemáticas","","","","","","39-52"
"Artículo","Clustering from categorical data sequences","Harry Crane","Journal of the American Statistical Association","","","","","","810-823"
"Artículo","El estudio de casos en las bases de datos del Science Citation Index, Social Science Citation Index y Arts and Humanities Citation Index (1992-2000)","Emilio Delgado López-Cozar, Antonio Fernández Cano","Arbor: Ciencia","","","","","",""
"Artículo","Ramsey partitions and proximity data structures","Manor Mendel, Assaf Naor","Journal of the European Mathematical Society","","","","","","253-275"
"Artículo","Digital acquisition: reflections on data quality","Alfonso Ippolito, Martina Attenni, Cristiana Bartolomei","Archeologia e calcolatori","","","","","","507-519"
"Artículo","Data sharing: Access all areas.","Brian Owens","Nature: International weekly journal of science","","","","","","71-72"
"Artículo","Consistent data for inconsistent XML document","Zijing Tan, Zijun Zhang, Wei Wang, Baile Shi","Information and software technology","","","","","","947-959"
"Artículo","Pandemics: facts, figures and data analysis","Frank Harris","School Science Review","","","","","","16-20"
"Artículo","Tree Rings and Radiocarbon Dates: Science & Archaeology","Henry N. Michael","Expedition: The magazine of the University of Pennsylvania","","","","","","5-6"
"Artículo","Estudio de la colaboración hispano-mexicana en Information Science & Library Science a través de mapas basados en datos bibliográficos","Jesús Blázquez Ruiz, María Rocío Gómez Crisóstomo","Retos y tendencias de la investigación Hispano-Mexicana en Ciencias de la Información y de la Documentación / coord. por María Teresa Fernández Bajón","","","","","","200-207"
"Artículo","Multithreading in laser scanning data processing","Vladimir Badenko, Serafim Tammsaar, Kirill Beliaevskii, Alexander Fedotov, Konstantin Vinogradov","Computational Science and Its Applications -- ICCSA 2019","","","","","","289-305"
"Artículo","Educational data mining and learning analytics","Ryan Baker, George Siemens","The cambridge handbook of the learning sciences / coord. por R. Keith Sawyer","","","","","","253-274"
"Artículo","An idiom to represent data types in Alloy","Rohit Gheyi, Paulo Borba, Augusto Sampaio, Renato Márcio Ribeiro Viana","Information and software technology","","","","","","173-176"
"Artículo","Design of data warehouses using metadata","S. Nilakanta, L. Miller, L. Wu","Information and software technology","","","","","","109-119"
"Artículo","Scientists Keep Some Data to Themselves","Constance Holden","Science","","","","","",""
"Artículo","A Bayesian Truth Serum for Subjective Data","Dra¿en Prelec","Science","","","","","","462-466"
"Artículo","Trickle, Not Flood, of Data Quality Requests","Jocelyn Kaiser","Science","","","","","",""
"Artículo","Data Treasures of the Test Ban Treaty","Richard Stone","Science","","","","","","41-42"
"Artículo","Isotopic Data Pinpoint Iceman's Origins","Constance Holden","Science","","","","","","759-760"
"Artículo","An International Framework to Promote Access to Data","Anne Beaulieu, Peter Arzberger, Leif Laaksonen, Peter Schroeder, David Moorman, Geof Bowker, Paul Wouters, Paul Uhlir, Kathleen Casey","Science","","","","","","1777-1778"
"Artículo","Flaw Found in Data-Protection Method","Charles Seife","Science","","","","","",""
"Artículo","Academia wins a round on raw data","Jocelyn Kaiser","Science","","","","","",""
"Artículo","Researchers eager to see Soviet data","Eliot Marshall","Science","","","","","",""
"Artículo","Will molecular data set the stage for a synthesis?","Jon Cohen","Science","","","","","",""
"Artículo","Researchers win data network reprieve","","Science","","","","","",""
"Artículo","FDA to ask for data on gender differences","Richard Stone","Science","","","","","",""
"Artículo","Big data and statistcs: a statistician's perspective","David Rossell","Mètode Science Studies Journal: Annual Review","","","","","","142-149"
"Artículo","Searchable Encryption for Geo-Referenced Data","Jordi Ribes Gonzalez","3rd URV Doctoral Workshop in Computer Science and Mathematics / Sergio Gómez Jiménez (ed. lit.)","","","","","","51-53"
"Artículo","Updating the ""Party Government"" data set","Katsunori Seki, Laron K. Williams","Electoral Studies: An international Journal","","","","","","270-279"
"Artículo","Optimal design for classification of functional data","Cai Li, Luo Xiao","Canadian Journal of Statistics = Revue Canadienne de Statistique","","","","","","285-307"
"Artículo","Venice sees the beautiful art of data","Simon Ings","New scientist","","","","","","30-31"
"Artículo","Political space representations with approval data","Carlos Alós Ferrer, Dura-Georg Granic","Electoral Studies: An international Journal","","","","","","56-71"
"Artículo","Funding for key data resources in jeopardy","Jocelyn Kaiser","Science","","","","","","14-14"
"Artículo","DataONE: Data Observation Network for Earth - Preserving Data and Enabling Innovation in the Biological and Environmental Sciences","William Michener, Dave Vieglais, Todd Vision, John Kunze, Patricia Cruse, Greg Janée","D-Lib Magazine","","","","","",""
"Artículo","A data abstraction approach for query relaxation","K. H. Moon, S. Y. Huh","Information and software technology","","","","","","407-418"
"Artículo","Linking crystallographic model and data quality","P. Andrew Karplus, Kay Diederichs","Science","","","","","","1030-1033"
"Artículo","Text Analysis and Data Visualization Software","","Science","","","","","",""
"Artículo","Canadian Report Calls for Data Agency","Wayne Kondro","Science","","","","","",""
"Artículo","Data Dilemma: Stow It, Or Kiss It Goodbye","Erik Stokstad","Science","","","","","","181-183"
"Artículo","Physicists and Astronomers Prepare for a Data Flood","Mark Sincell","Science","","","","","","1840-1841"
"Artículo","Summit Pledges Global Data Sharing","Dennis Normile","Science","","","","","",""
"Artículo","FDA mandates diversity data on drugs","Richard Stone","Science","","","","","",""
"Artículo","Publicizing AIDS data early and often","Richard Stone","Science","","","","","",""
"Artículo","Global climate data and models: A reconciliation","James E. Hansen, Makiko Sato","Science","","","","","","930-932"
"Artículo","A grisly archive of key cancer data","Patricia Kahn","Science","","","","","","448-451"
"Artículo","Data in Key Papers Cannot Be Reproduced","Michael Balter","Science","","","","","","1987-1988"
"Artículo","Europe regulates genetic test data","Eliot Marshall","Science","","","","","",""
"Artículo","Data release proposal raises alarm","Jocelyn Kaiser","Science","","","","","",""
"Artículo","El uso de Logbooks con estudiantes de segundas lenguas y lenguas extranjeras en la educación superior: la autonomía del estudiante en curso","Marcella Menegale","Philologia hispalensis","","","","","","99-119"
"Artículo","Proyecto aúlico multidisciplinario universitario para alumnos del 5° Curso de Ingeniería comercial, creando nuestra propia empresa","José Edmundo Dávalos Von Eckstein, Mirtha G. Villagra, Hugo Valerio Samudio Almirón","ARANDU UTIC","","","","","","107-120"
"Artículo","La perspectiva sociocultural aplicada a la movilidad: un estudio de caso a través de las redes sociales","Pilar Parra Contreras","Teknokultura","","","","","","555-581"
"Artículo","The information system for social housing management as a part of the land administration system – A case study of Poland","Andrzej Muczyński, Agnieszka Dawidowicz, Ryszard Źróbek","Land use policy: The International Journal Covering All Aspects of Land Use","","","","","","165-176"
"Artículo","Influencia del neoliberalismo en el Trabajo Social chileno: discursos de profesionales y usuarios","Luis Alberto Vivero Arriagada","Revista Colombiana de Ciencias Sociales","","","","","","125-148"
"Artículo","Identificaçao: uma nova funçao arquivística?","Ana Célia Rodrigues","EDICIC","","","","","","109-129"
"Artículo","Rain intensity estimation Methods for urban drainage projects in Marabá, Amazonia, Brazil.","Gabriel Villas Boas de Amorim Lima, Ana Catarina Gandra de Carvalho, Marina Morhy Pereira, Erika Joana Nabiça Borges, Rodrigo Silvano Silva Rodrigues","Research","","","","","",""
"Artículo","CHIMACTIV: An Open-Access Website for Student-Centered Learning in Analytical Chemistry","Valérie Camel, Marie-Noëlle Maillard, Jonathan Piard, Cécile Dumas, Mathieu Cladière, Gérôme Fitoussi, Emilie Brun, Isabelle Billault, Cécile Sicard Roselli","Journal of chemical education","","","","","","2319-2326"
"Artículo","Evaluation of Commercial Kits for Dual Extraction of DNA and RNA from Human Body Fluids","Andrew J. Schweighardt, Courtney M. Tate, Kristina A. Scott, Kathryn A. Harper, James M. Robertson","Journal of forensic sciences","","","","","","157-165"
"Artículo","Classification of Opium by UPLC-Q-TOF Analysis of Principal and Minor Alkaloids","Cuimei Liu, Zhendong Hua, Yanping Bai","Journal of forensic sciences","","","","","","1615-1621"
"Artículo","Diversidad de carnívoros: el pensamiento científico en las aulas de infantil","Rosario Melero Alcíbar, Purificación Gamarra Hidalgo","Tendencias pedagógicas","","","","","","51-68"
"Artículo","Estimating the impacts of water pricing on smallholder irrigators in North West Province, South Africa","Stijn Speelman, Jeroen Buysse, Stefano Farolfi, Aymen Frija, Marijke D'Haese, Luc D'Haese","Agricultural water management: an international journal","","","","","","1560-1566"
"Artículo","Interprofessional education on feeding, swallowing, and nutrition—best “served” with OT, speech therapy, and nutrition","Veronica T. Rowe, Emily Millard, Chelsea Clarkson","American Journal of Occupational Therapy","","","","","",""
"Artículo","Análisis Factorial Confirmatorio para medir las limitantes percibidas en el pregrado para el desarrollo de actividades de investigación","Deneb Elí Magaña Medina, Norma Aguilar Morales, José Manuel Vázquez Rodríguez","Nova scientia","","","","","","515-536"
"Artículo","Etnoecología en el aula de clase: una propuesta para la formación docente contextualizada en comunidades tradicionales","Karina Vieira Martins, Geilsa Costa Santos Baptista, Rosiléia Oliveira de Almeida","Praxis & Saber","","","","","",""
"Artículo","Recuperación de la información científica en pediatría: una oportunidad para el Índice Médico Español","J. González de Dios, Rafael Aleixandre Benavent","Anales de Pediatría: Publicación Oficial de la Asociación Española de Pediatría ( AEP )","","","","","","242-251"
"Artículo","Investigating Bandgap Energies, Materials, and Design of LightEmitting Diodes","Eugene P. Wagner II","Journal of chemical education","","","","","","1289-1298"
"Artículo","Leaching of Silver from Silver-Impregnated Food Storage Containers","James F. Hauri, Brian K. Niece","Journal of chemical education","","","","","","1407-1409"
"Artículo","A multicomponent UV snalysis of a- and ß-Acids in hops","Haley Egts, Dan J. Durben, John A. Dixson, Micheal H. Zehfus","Journal of chemical education","","","","","","117-120"
"Artículo","Young people’s uncertainty about the future: Education system, training, and transition to employment in Spain","Roberto Moreno López, Beatríz Esteban Ramiro, Rut Barranco Barroso","Tuning journal for higher education","","","","","","67-89"
"Artículo","The importance of supervised internship educational practices in the training of nurses: an integrative review","Roberta Kele Ribeiro Ferreira, Marcelo Borges Rocha","Research","","","","","",""
"Artículo","Concentración de la atención en la Gimnasia Rítmica: Aproximaciones teóricas (revisión)","Magela del Carmen González Santisteban, Juan Carlos Arévalo Aguilar, Asunción Milagros Pérez Mariño","Olimpia: Publicación científica de la facultad de cultura física de la Universidad de Granma","","","","","","51-64"
"Artículo","Análisis de los índices H, G y R en el sector agropecuario cubano a través de Scopus, 2005-2009","Ibis Anette Lozano Díaz, Yaniris Rodríguez Sánchez","Anales de documentación: Revista de biblioteconomía y documentación","","","","","","17"
"Artículo","Podcasting: A Preliminary Classroom Study","Alexander Aristizabal","Gist: Education and Learning Research Journal","","","","","","30-40"
"Artículo","Enseñanza de la historia y concepciones identitarias de los maestros en formación. Diseño y validación del cuestionario CIAMEH","David Verdú González, Cosme Jesús Gómez Carrasco","Revista electrónica interuniversitaria de formación del profesorado","","","","","","43-65"
"Artículo","El uso de las redes sociales por futuros maestros de educación primaria","María del Carmen Martínez Serrano","Etic@net: Revista científica electrónica de Educación y Comunicación en la Sociedad del Conocimiento","","","","","","455-469"
"Artículo","Auditoría Interna En La Red Federal de Educación Profesional: Una Mirada para los Institutos Federales del Noreste de Brasil","Wenia Ventura de Farias Caldas, Maria Elena Leon Olave, Ronalty Oliveira Rocha, Wanderson Roger Azevedo Días","Navus: Revista de Gestão e Tecnologia","","","","","","1-19"
"Artículo","O ambiente térmico de uma sala de aula influencia os resultados de avaliação de um estudante","Mário Talaia, Marta Silva","Revista de Formación e Innovación Educativa Universitaria ( REFIEDU )","","","","","","67-76"
"Artículo","Secretariat, Facilitator or Policy Entrepreneur?: Role Perceptions of Officials of the Council Secretariat","Ana E. Juncos, Karolina Pomorska","European integration online papers ( EIoP )","","","","","",""
"Artículo","Closed loop communication and blue code in the emergency department: elaboration of a Standard Operating Procedure","Fernanda Pena, Vagner Costa Pereira, Claudia Zamberlan, Rosiane Filipin Rangel, Silomar Ilha","Research","","","","","",""
"Artículo","Evaluation of care for chronic health conditions: the perspective of the user","Andreisi Carbone Anversa, Aline Sarturi Ponte, Mithielle de Araujo Machado, Elenir Fedosse","Research","","","","","",""
"Artículo","GC-FID Analysis to Evaluate the Possible Adulteration of Extra Virgin Olive Oil with Different Vegetable Oils","Francesco Siano, Ermanno Vasca","Journal of chemical education","","","","","","4108-4116"
"Artículo","Distribution of ∆ 9 -Tetrahydrocannabinol and 11-Nor-9-Carboxy-∆ 9 -Tetrahydrocannabinol Acid in Postmortem Biological Fluids and Tissues From Pilots Fatally Injured in Aviation Accidents","P. M. Kemp, Patrick S. Cardona, A. K. Chaturvedi, John W. Soper","Journal of forensic sciences","","","","","","942-949"
"Artículo","Multitouch Experiment Instructions to Promote Self-Regulation in Inquiry-Based Learning in School Laboratories","Johann Seibert, Katrin Heuser, Vanessa Lang, Franziska Perels, Johannes Huwer, Christopher W. M. Kay","Journal of chemical education","","","","","","1602-1609"
"Artículo","Producción científica de los profesores del área de Educación Física y Deportiva de Cataluña (quinquenio 2005-2009 versus 2010-2014)","Vicenç Hernández González, Joaquín Reverter Masià, María Carmen Jové Deltell","Sport TK: revista euroamericana de ciencias del deporte","","","","","","17-24"
"Artículo","Iranian EFL teachers' emotional intelligence and their use of speaking strategies","Karim Shabani","REMIE: Multidisciplinary Journal of Educational Research","","","","","","146-178"
"Artículo","Formación de representaciones intuitivas acerca del sonido en niños de preescolar","Claudia Elena Velázquez Olmedo, Leticia Gallegos Cázares, Elena Calderón Canales","Revista de educación","","","","","","11-36"
"Artículo","Investigación según indicadores y rankings. ¿cómo está latinoamérica?","Wendolin Suárez Amaya, Jazmín Díaz Barrios, Morela Pereira","Investigar para Educar: Visões sem fronteiras. / Eurico Wongo Gungula (ed. lit.)","","","","","","167-190"
"Artículo","Accessibility in Central Asia: Collaboration between graduate school and library","Margaret Spires, A. S. CohenMiller","IFLA journal","","","","","","35-43"
"Artículo","Computational Chemistry Laboratory: Calculating the Energy Content of Food Applied to a Real-Life Problem","Dora Barbiric, Lorena Tribe, Rosario Soriano","Journal of chemical education","","","","","","881-885"
"Artículo","A Caffeinated Boost on UV Spectrophotometry: A Lab for High School Chemistry or an Introductory University Chemistry Course","Kevin Dooling, Kurt Bodenstedt, Michael F. Z. Page","Journal of chemical education","","","","","","914-917"
"Artículo","Beer as a teaching aid in the classroom and laboratory","Jasminka N. Korolija, Jovica V. Plavsic, Dragan Marinkovic, Ljuba M. Mandic","Journal of chemical education","","","","","","605-609"
"Artículo","Bioplastics in the General Chemistry Laboratory: Building a Semester-Long Research Experience","Alexandra M. Ward, Graeme R. A. Wyllie","Journal of chemical education","","","","","","668-676"
"Artículo","Formación de promotores ambientales comunitarios para la actividad físico-deportiva: Una revisión necesaria (revisión)","Santiago León Martínez","Olimpia: Publicación científica de la facultad de cultura física de la Universidad de Granma","","","","","","105-113"
"Artículo","Remapping english","Ursula K. Heise","Ecozon@ [Ecozona]: European Journal of Literature","","","","","","27-34"
"Artículo","Perfil investigador de los profesionales de fisioterapia de Colombia","Robinson Ramírez Vélez, Celia Escobar Hurtado, María Eugenia Flórez López, Ricardo Antonio Agredo Zúñiga","Revista Médicas UIS","","","","","",""
"Artículo","Discapacidad y Educación: ¿una experiencia inclusiva?","Mario Toboso Martín, Miguel Ángel Vázquez Ferreira, Matilde Fernández-Cid, Susana Rodríguez Díaz","Crisis y cambio. Propuestas desde la Sociología: actas del XI Congreso Español de Sociología. Universidad Complutense de Madrid. Facultad de Ciencias Políticas y Sociología. 10-12 de julio de 2013 / coord. por Heriberto Cairo Carou","","","","","","319-325"
"Artículo","Video with Impact: Access to the World’s Magnetic-Resonance Experts for the Scientific-Education Community","Ann H. Kwan, Mehdi Mobli, Horst J. Schirra, Jennifer C. Wilson, Oliver A. H. Jones","Journal of chemical education","","","","","","159-164"
"Artículo","Historia de la constitución del Departamento de Ciencias Geológicas en la Universidad de Buenos Aires","R. J. Cucchi","Revista del Museo de La Plata","","","","","","103-110"
"Artículo","The Effects of COVID 19 Process on Health Care Workers: Analysing of the Relationships between Optimism, Job Stress and Emotional Exhaustion","Şefik Özdemir, Gökhan Kerse","RIMCIS: Revista Internacional y Multidisciplinar en Ciencias Sociales","","","","","","178-201"
"Artículo","La atención a la diversidad desde la perspectiva de estudiantes del Máster de Educación Secundaria de la Universidad de Jaén","María Carmen Pegalajar Palomino","Educatio siglo XXI: Revista de la Facultad de Educación","","","","","","77-98"
"Artículo","“Qual física se aprende? Qual física se observa? Qual física se ensina? E, afinal, qual professor de física se forma?” Reflexões sobre a potencialidade do estágio supervisionado num cenário controverso","Fernanda Keila Marinho da Silva, Franciéle gonçalves Oliveira, Tersio Guilherme de Souza Cruz","Laplage em revista","","","","","","51-62"
"Artículo","Experiencias de la aplicación de objetos virtuales de aprendizaje de física moderna","Ronal Tamayo Cuenca, Pedro Roberto Valdés Tamayo, Elser Ferras Santiesteban","Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales","","","","","","225-241"
"Artículo","Inframedia: barreras infraestructurales y ecologías online en la Web 2.0","José Sánchez López","ANIAV - Revista de Investigación en Artes Visuales","","","","","","79-89"
"Artículo","Jovens e sujeitos da História","Luis Fernando Cerri, Mariela Coudannes Aguirre","Estudos Ibero-Americanos","","","","","","125-140"
"Artículo","A Escolha de Psicólogos em Cursar Mestrado em Psicologia","Hellen Cristine Geremia, Iúri Novaes Luna, Paulo Roberto Sandrini","Psicologia: Ciência e Profissão","","","","","","676-693"
"Artículo","Contabilidad de gestión ambiental en empresas constructoras. Impactos y efectos de su uso","Yosman Valderrama, Lisbeth Mayela Moreno","CICAG: Revista del Centro de Investigación de Ciencias Administrativas y Gerenciales","","","","","","36-54"
"Artículo","La Arqueología en una alternativa de sustentabilidad ambiental y desarrollo social: el Mezquite en el caso de las comunidades semiáridas de Zacatecas","Christian Antonio Basurto Muñoz","Tejuelo: Didáctica de la Lengua y la Literatura. Educación","","","","","","941-953"
"Artículo","Validez de constructo de un instrumento de enfermería para evaluar adherencia al tratamiento antihipertensivo","Astrid Nathalia Páez Esteban, Laura Paola Caballero Díaz, Nahyr López Barbosa, Myriam Oróstegui Arenas, Luis Carlos Orozco Vargas, Laura Isabel Valencia Angel","Enfermería global: Revista electrónica trimestral de enfermería","","","","","","37-47"
"Artículo","El embrión ficticio: historia de un mito biológico. El autor explica su libro","Gonzalo Herranz Rodríguez","Cuadernos de bioética","","","","","","299-312"
"Artículo","Gestión académica saludable en el contexto universitario","Ileana Castillo Cedeño, Luz Emilia Flores Davis, Giselle Miranda Cervantes","Revista Electrónica Educare","","","","","",""
"Artículo","Sistema hipermedial como herramienta de apoyo al intercambio de información","Yermys Daniela Parada Azuaje","Dialógica: revista multidisciplinaria","","","","","","73-93"
"Artículo","Análisis metodológico de la distribución espacial de la precipitación y la estimación media diaria","Mauro Íñiguez Covarrubias, Waldo Ojeda Bustamante, Carlos Díaz Delgado, Khalidou Bâ Mamadou, Roberto Mercado Escalante","Revista mexicana de ciencias agrícolas","","","","","","57-69"
"Artículo","Empleo del modelo SRNS para predecir la ganancia de peso en ovinos machos Pelibuey en crecimiento","F. Duarte Vera, C. A. Sandoval Castro, Luis Sarmiento Franco","Archivos de zootecnia","","","","","","671-681"
"Artículo","Particularidades y complejidades del trabajo infantil: aspectos conceptuales y aproximación empírica a un fenómeno oculto con dimensiones diversas","Mauricio Padrón Innamorato, Patricia Román Reyes","Revista Facultad de Ciencias Económicas: Investigación y Reflexión","","","","","","25-42"
"Artículo","Programa de qualificação de profissionais da informação em instituições da saúde: parceria entre a Universidade Federal da Bahia e a Universidade do Porto","Zeny Duarte, Armando Malheiro da Silva","A ciência da informação criadora de conhecimento: actas do IV Encontro Ibérico EDIBCIC 2009 / coord. por Maria Manuel Borges","","","","","","265-271"
"Artículo","Relações entre cultura organizacional e trabalho docente no Instituto Federal do Rio Grande do Norte","Jássio Pereira de Medeiros, Leonor Torres","Roteiro","","","","","","241-272"
"Artículo","A profession in transition: towards development and implementation of standards for visual resources management. Part B - the professional's perspective and beyond","Hemalata Iyer","Information Research","","","","","",""
"Artículo","Las desigualdades de los resultados de las pruebas PISA debido al desempeño del profesor: Las diferencias entre los países","Ana Rita Lorga","International Conference Reconceptualizing the Professional Identity of European Teacher / Miguel-Ángel Ballesteros-Moscosio (ed. lit.)","","","","","","43-68"
